id,fips,date,newcase,newdeath
139,1073,6/8/2020,39,3
278,1081,6/8/2020,10,0
417,1097,6/8/2020,28,0
556,1101,6/8/2020,74,6
695,1117,6/8/2020,5,0
834,1125,6/8/2020,21,5
973,4005,6/8/2020,8,0
1112,4013,6/8/2020,505,0
1251,4017,6/8/2020,31,0
1390,4019,6/8/2020,56,0
1529,4021,6/8/2020,15,0
1668,5119,6/8/2020,15,1
1807,6001,6/8/2020,71,6
1946,6013,6/8/2020,38,1
2085,6019,6/8/2020,0,0
2224,6025,6/8/2020,445,5
2363,6029,6/8/2020,74,2
2502,6031,6/8/2020,75,0
2641,6037,6/8/2020,800,10
2780,6053,6/8/2020,0,0
2919,6059,6/8/2020,87,0
3058,6065,6/8/2020,18,1
3197,6067,6/8/2020,69,2
3336,6071,6/8/2020,134,0
3475,6073,6/8/2020,143,0
3614,6075,6/8/2020,32,0
3753,6077,6/8/2020,34,0
3892,6081,6/8/2020,64,0
4031,6083,6/8/2020,30,0
4170,6085,6/8/2020,31,1
4309,6095,6/8/2020,24,0
4448,6097,6/8/2020,11,0
4587,6099,6/8/2020,36,0
4726,6107,6/8/2020,104,2
4865,6111,6/8/2020,80,0
5004,8001,6/8/2020,30,2
5143,8005,6/8/2020,26,0
5282,8013,6/8/2020,6,0
5421,8031,6/8/2020,32,9
5560,8035,6/8/2020,1,0
5699,8037,6/8/2020,2,0
5838,8041,6/8/2020,28,2
5977,8059,6/8/2020,11,2
6116,8069,6/8/2020,9,0
6255,8123,6/8/2020,15,0
6394,9001,6/8/2020,36,4
6533,9003,6/8/2020,35,4
6672,9005,6/8/2020,7,0
6811,9007,6/8/2020,2,1
6950,9009,6/8/2020,32,3
7089,9011,6/8/2020,1,1
7228,9013,6/8/2020,0,0
7367,9015,6/8/2020,8,0
7506,10001,6/8/2020,2,0
7645,10003,6/8/2020,25,0
7784,10005,6/8/2020,7,0
7923,11001,6/8/2020,57,2
8062,12001,6/8/2020,0,0
8201,12009,6/8/2020,7,0
8340,12011,6/8/2020,120,4
8479,12015,6/8/2020,7,0
8618,12019,6/8/2020,5,0
8757,12021,6/8/2020,31,1
8896,12031,6/8/2020,14,1
9035,12033,6/8/2020,3,0
9174,12057,6/8/2020,113,1
9313,12071,6/8/2020,26,0
9452,12081,6/8/2020,30,0
9591,12085,6/8/2020,10,0
9730,12086,6/8/2020,209,2
9869,12095,6/8/2020,62,0
10008,12097,6/8/2020,4,0
10147,12099,6/8/2020,99,1
10286,12101,6/8/2020,10,0
10425,12103,6/8/2020,54,0
10564,12105,6/8/2020,28,0
10703,12111,6/8/2020,27,0
10842,12115,6/8/2020,6,0
10981,12117,6/8/2020,10,0
11120,12127,6/8/2020,10,1
11259,13015,6/8/2020,2,0
11398,13021,6/8/2020,3,1
11537,13045,6/8/2020,2,4
11676,13051,6/8/2020,4,1
11815,13057,6/8/2020,10,1
11954,13063,6/8/2020,16,3
12093,13067,6/8/2020,60,9
12232,13077,6/8/2020,6,1
12371,13089,6/8/2020,48,7
